v0,v1,v2,v3,v4,y
0.5340128982304274,0.6566835141675601,0.9912914095318934,0.4663368407219318,0.3248653732441943,0.5134711963839429
0.647786288250661,0.22191950331858334,0.5040571086118851,0.02950800408054266,0.311882577367639,0.39643433652944193
0.44621550683291833,0.879832122993325,0.2537968153186857,0.12860725005809748,0.10366970983259505,0.5908940211689232
0.6729475347057521,0.3652874792688183,0.9981392681240866,0.08205856105701426,0.7725325505209591,0.20997132343028235
0.7492877010349823,0.6617144130753765,0.7675883424575201,0.17036817418696282,0.19729517528206109,0.8372332543176533
0.6231800931908795,0.4286295854592955,0.5813132089912704,0.8023675807416335,0.20287746350593105,0.18259817988304783
0.5157275063104325,0.07136763921419076,0.5504735527285344,0.6408380002699723,0.20399911321183783,0.09143529899950942
0.8654486495233557,0.3719667616377501,0.8775554439455404,0.9059212577474529,0.7268805329209496,0.26855574776101776
0.9742672659434468,0.849433038279935,0.7141201871060721,0.6432366828183603,0.5061164886438052,0.3446765519332028
0.32925914478034823,0.27865022080282065,0.1450349683949842,0.4781036738809211,0.4734020150711463,0.40892292351324666
0.933142071508592,0.5422740307554376,0.8126175040192711,0.027418255596589503,0.06074203282081825,0.22440213087163852
0.8140558884605176,0.0619899350162072,0.28372129243590716,0.72961208042486,0.3662083050444429,0.33349776393779784
0.9860937414864689,0.3089617006714521,0.7536766504150135,0.6258038286383644,0.15990974832352034,0.8307362344149015
0.3421702495775587,0.4639018466292262,0.9546318051115591,0.6778750086297005,0.9292301168938011,0.611693375709392
0.16955912129672224,0.5924089690122084,0.7324871500901018,0.29792176114949953,0.9060690659977902,0.8294334467349763
0.5923706483540614,0.2193369468199885,0.11339299761764277,0.30544621486305157,0.6007844627523331,0.5890341714328498
0.07133490892237093,0.5799179304642907,0.7995076759629053,0.17197595226643658,0.45403768509990217,0.737886900761583
0.2615364591990986,0.24685555728565978,0.21526712924404245,0.012494974328392638,0.6911490883062179,0.44034551736235217
0.4130677793201416,0.3204853730899273,0.28598893756272603,0.1303675574922487,0.7307955577208525,0.6979784160866237
0.3744954438398006,0.010406246320458057,0.045520874000304246,0.3545366762006801,0.24860154809861046,0.40447715480077173
0.21902938550884743,0.9007868288031101,0.8655478197655214,0.9623240445344218,0.23842850292320517,0.3203427944160432
