v0,v1,v2,v3,v4,v5,v6,v7,y
0.5297599574681281,0.986548716202157,0.5848977232577502,0.6364700420084781,0.12095190514453469,0.5888375754564598,0.7621640935211246,0.6901594020087753,0.3703985606511673
0.333991692142974,0.7943060212894091,0.286476950258741,0.6688522696482612,0.8714095010778129,0.40153481290574133,0.928097107459172,0.0035371152367346115,0.727407730122015
0.3299188736851457,0.9805717346133354,0.7940488748107049,0.3112387591809348,0.6335747079959189,0.2332280451045221,0.9740401118797976,0.5352508890209914,0.9876721582377784
0.19553840935712585,0.22596547433065484,0.1569065646404484,0.269839085632291,0.8417626712328469,0.4944139381785615,0.9782033122224824,0.2104334002761653,0.67429908882893
0.056862086729056904,0.12288458900929256,0.18004379673531434,0.9236704015120003,0.875469450511603,0.8341647880418361,0.11214810118391338,0.22966554332798506,0.8804426658224668
0.5390548476127257,0.8208829574138843,0.8301484114630133,0.8479343624563798,0.9086613403650456,0.9342176450753545,0.2316827148393027,0.6842057729721248,0.7638328321877916
0.5009599763670652,0.646482343432261,0.49296754743124693,0.3056134965018802,0.6709910532849594,0.5030128297232308,0.6148992819649691,0.44041194452696897,0.5512288752599932
0.5050025186857326,0.46884777944153555,0.27443977139206577,0.05164397912651242,0.24880155122073455,0.7596466702027894,0.42165299902423004,0.5206547416709774,0.024145399162076808
0.23669366437032646,0.3285849811565349,0.9637736424985246,0.0843362974237819,0.1506286648788,0.3716105172763341,0.20091911991406675,0.5320026732341085,0.6864453110538887
0.8142693310041685,0.5078625363569905,0.31763692730989246,0.7125428310353391,0.38194034275423416,0.777317306764457,0.9178651209932145,0.8727497251608451,0.6652986476979037
